escenario,PR_AUC,Recall@30,delta_PR_AUC,delta_Recall@30
Modelo completo,0.4849859341548949,0.728448275862069,0.0,0.0
H1 - sin historial previo,0.435982007112057,0.71875,-0.0490039270428379,-0.00969827586206895
H2 - sin calendario,0.4759852414648656,0.7155172413793104,-0.009000692690029288,-0.012931034482758563
Sin contexto macroeconómico,0.42625945705434565,0.6864224137931034,-0.058726477100549235,-0.042025862068965525
