grupo,atributo,clientes,prevalencia,seleccionados,share_cartera,share_top30,recall_grupo
30-44,edad,4591,0.10455238510128512,0.25549989109126553,0.5574307916464303,0.47470659651962765,0.65625
45-59,edad,2353,0.08159796005099873,0.24606884827879302,0.2856969402622632,0.23431808984216917,0.6770833333333334
60+,edad,215,0.40930232558139534,0.8883720930232558,0.026104905293831956,0.07729664103601781,0.9886363636363636
<30,edad,1077,0.15598885793871867,0.49025069637883006,0.1307673627974745,0.21367867260218534,0.8571428571428571
divorced,estado civil,911,0.1141602634467618,0.2535675082327113,0.11061194754735308,0.09348441926345609,0.5961538461538461
married,estado civil,5006,0.09848182181382341,0.266679984019177,0.6078193297717338,0.5402670983407527,0.6997971602434077
single,estado civil,2307,0.14304291287386217,0.3905504984828782,0.28011170471102476,0.36462970457304733,0.8151515151515152
unknown,estado civil,12,0.08333333333333333,0.3333333333333333,0.0014570179698882952,0.0016187778227438284,0.0
