estrategia,PR_AUC,ROC_AUC,Recall@30
Modelo global,0.4849859341548949,0.803168218461582,0.728448275862069
Por contacto previo,0.4860935886057747,0.8051305224081309,0.7241379310344828
Por canal,0.4837309970560098,0.803630630933507,0.7273706896551724
Por franja etaria,0.47446899563987843,0.8015972546618727,0.7273706896551724
