modelo,PR_AUC,ROC_AUC,Recall@30,Precision@30,Lift@30,F1@30,Accuracy@30,PR_AUC/prevalencia
Baseline: ranking aleatorio,0.3089079277780452,0.5019106882605032,0.3079952737298149,0.3164710643464185,1.026567816446279,0.3121756487025948,0.5815930063137446,1.0020345384718317
Logística,0.5270723698616026,0.747901872443385,0.5360378101614809,0.5507891541885876,1.786648079518396,0.543313373253493,0.722195240407965,1.7097156511146745
Random Forest,0.5382759803829437,0.7430657830524181,0.5285545490350532,0.5430999595305545,1.7617058947198292,0.5357285429141716,0.7175813501699855,1.746057886740419
XGBoost,0.4379450045721145,0.637734369982391,0.435998424576605,0.4479967624443545,1.453210451158607,0.4419161676646707,0.6605148130160272,1.4206045914359728
