modelo,PR_AUC,ROC_AUC,Recall@30,Precision@30,Lift@30,F1@30,Accuracy@30
Baseline: ranking aleatorio,0.1165070891417917,0.5050735613309929,0.3038793103448275,0.1141238365034399,1.012849048968029,0.1659311562224183,0.6557795046138902
Logística,0.4535663238528544,0.8004878186163487,0.7273706896551724,0.273168757588021,2.4243727235936867,0.3971756398940865,0.7512141816415736
Random Forest,0.4849859341548949,0.803168218461582,0.728448275862069,0.273573452043707,2.4279643868878997,0.3977640482494851,0.7514570179698883
XGBoost,0.4809526640751178,0.8099939632759565,0.7370689655172413,0.2768110076891946,2.4566976932416025,0.4024713150926743,0.753399708596406
