modelo,PR_AUC_media,PR_AUC_desvio,ROC_AUC_media,ROC_AUC_desvio,Recall@30_media,Recall@30_desvio
XGBoost,0.466512479238198,0.014432515744694166,0.8002082053445587,0.007563252024522913,0.7135568994351594,0.011322164982684804
Random Forest,0.46603836621091393,0.014928095058899254,0.7949822842882819,0.007798979812079082,0.7089757775173859,0.010190500635206762
Logística,0.4505736817559442,0.013916376676333473,0.7898800516745046,0.007167412042799214,0.6995432663529872,0.012108855466840249
